Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
1837,46111321553722,3698089307,Ufone,03322776410,89410034154413712142,COSMOS
1838,46111321553726,3698089243,Ufone,03322776428,89410034154413711508,COSMOS
1839,46111321554322,3698089315,Ufone,03322776455,89410034154413712225,COSMOS
1840,46111321554329,3698089312,Ufone,03322776516,89410034154413712191,COSMOS
1841,46111321554334,3698089311,Ufone,03322776740,89410034154413712183,COSMOS
1842,46111321554515,3698089191,Ufone,03313915738,89410034154517136552,COSMOS
1843,46111321554517,3698090393,Ufone,03336187078,89410034232313281036,COSMOS
1844,46111321555108,3698090427,Ufone,03336923897,89410034232313281374,COSMOS
1845,46111321555109,3698089314,Ufone,03313915475,89410034154413712217,COSMOS
1846,46111321555110,3698090426,Ufone,03336923890,89410034232313281366,COSMOS
1847,46111321555701,3698089310,Ufone,03313915986,89410034154413712175,COSMOS
1848,46111321556102,3698090372,Ufone,03336186234,89410034232313280822,COSMOS
1849,46111321556315,3698090442,Ufone,03336924258,89410034232313281523,COSMOS
1850,46111321564609,3698089209,Ufone,03313915453,89410034154517136685,COSMOS
1851,46111321564610,3698089198,Ufone,03313915470,15451713653,COSMOS
1852,46111321564612,3698089207,Ufone,03313911736,89410034154517136669,COSMOS
1853,46111321565600,3698089269,Ufone,03313911742,89410034154413711763,COSMOS
1854,46111321565603,3698089267,Ufone,03322773980,89410034154413711748,COSMOS
1855,46111321565800,3698089331,Ufone,03322779241,89410034154413712373,COSMOS
1856,46111321565801,3698090364,Ufone,03336185247,89410034232313280749,COSMOS
1857,46111321565803,3698089268,Ufone,03322774154,89410034154413711755,COSMOS
1858,46111321565805,3698090363,Ufone,03336185235,89410034232313280731,COSMOS
1859,46111321566000,3698090373,Ufone,03336186244,89410034232313280830,COSMOS
1860,46111321566200,3698090371,Ufone,03336185751,89410034232313280814,COSMOS
1861,46111321566203,3698090365,Ufone,03336185262,89410034232313280756,COSMOS
1862,46111321566300,3698089224,Ufone,03322775232,89410034154413711326,COSMOS
1863,46111321566500,3698090460,Ufone,03336924659,89410034232313281705,COSMOS
1864,46111321566501,3698089222,Ufone,03322775403,89410034154517136800,COSMOS
1865,46111321566600,3698089176,Ufone,03322778093,89410034154517134458,COSMOS
1866,46111321566700,3698090430,Ufone,03336923932,89410034232313281408,COSMOS
1867,46111321566703,3698090362,Ufone,03336185231,89410034232313280723,COSMOS
1868,46111321566900,3698089266,Ufone,03322778147,89410034154413711730,COSMOS
1869,46111321567100,3698089223,Ufone,03322778162,89410034154413711318,COSMOS
1870,46111321567800,3698089332,Ufone,03322778697,89410034154413712381,COSMOS
1871,46111321567900,3698090474,Ufone,03336925390,23231328184,COSMOS
1872,46111321568000,3698089317,Ufone,03313915755,89410034154413712241,COSMOS
1873,46111321568002,3698090350,Ufone,03336185149,89410034232313280608,COSMOS
1874,46111321568004,3698089318,Ufone,03322779059,89410034154413712258,COSMOS
1875,46111321568005,3698090473,Ufone,03336925383,89410034232313281838,COSMOS
1876,46111321568100,3698089196,Ufone,03313915609,89410034154517136578,COSMOS
1877,46111321568200,3698090347,Ufone,03336185129,89410034232313280574,COSMOS
1878,46111321568702,3698089296,Ufone,03322773903,89410034154413712035,COSMOS
1879,46111321568703,3698089297,Ufone,03322773908,89410034154413712043,COSMOS
1880,46111321569101,3698089326,Ufone,03322775635,89410034154413712332,COSMOS
1881,46111321569115,3698090375,Ufone,03336186268,89410034232313280855,COSMOS
1882,46111321569607,3698089337,Ufone,03322775644,89410034154413712431,COSMOS
1883,46111321569610,3698089340,Ufone,03322775843,89410034154413712464,COSMOS
1884,46111321569615,3698089236,Ufone,03322774292,89410034154413711433,COSMOS
1885,46111321569630,3698089336,Ufone,03322774376,89410034154413712423,COSMOS
1886,46111321569631,3698089339,Ufone,03322773561,15441371140,COSMOS
1887,46111321569802,3698089237,Ufone,03322773564,89410034154413711441,COSMOS
1888,46111321569810,3698090340,Ufone,03336184897,89410034232313280509,COSMOS
1889,46111321569901,3698089200,Ufone,03322774750,89410034154317673325,COSMOS
1890,46111321569902,3698090416,Ufone,03336923590,23231328126,COSMOS
1891,46111321569904,3698089201,Ufone,03322775684,89410034154517136602,COSMOS
1892,46111321570000,3698089246,Ufone,03322773582,89410034154413711532,COSMOS
1893,46111321570002,3698090346,Ufone,03336185126,89410034232313280566,COSMOS
1894,46111321570004,3698090388,Ufone,03336187032,89410034232313280988,COSMOS
1895,46111321570700,3698089199,Ufone,03322775697,89410034154517134508,COSMOS
1896,46111321571002,3698089221,Ufone,03322775732,89410034154517136792,COSMOS
1897,46111321571500,3698089298,Ufone,03313915899,89410034154413712050,COSMOS
1898,46111321571508,3698089299,Ufone,03313915877,89410034154413712068,COSMOS
1899,46111321571510,3698089300,Ufone,03313915718,89410034154413712076,COSMOS
1900,46111321577406,3698090475,Ufone,03336925393,23231328185,COSMOS
1901,46111321577500,3698090376,Ufone,03336186278,89410034232313280863,COSMOS
1902,46111321577704,3698089186,Ufone,03322778730,89410034154517136503,COSMOS
1903,46111321577710,3698089225,Ufone,03313112203,89410034154413711334,COSMOS
1904,46111321577905,3698090374,Ufone,03336186257,89410034232313280848,COSMOS
1905,46111321578701,3698089208,Ufone,03322778960,89410034154517136677,COSMOS
1906,46111322401920,3698089319,Ufone,03322778983,89410034154413712266,COSMOS
