Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
90,24381140446005,3799006512,Zong,03171234567,899230000158900969,COSMOS
91,24381140446006,3799006074,Zong,03171234567,89410034154517061792,COSMOS
92,24381140446007,3799006075,Zong,03171234567,89410034154517061768,COSMOS
93,24381140446008,3799006413,Zong,03171234567,89410034154517061800,COSMOS
94,24381140446009,3799006071,Zong,03171234567,89410034154517061784,COSMOS
95,24381140447300,3799006411,Zong,03171234567,89410034154517061677,COSMOS
96,24381140448110,3799006414,Zong,03171234567,8941003415451706132,COSMOS
97,24381140473310,3799006249,Zong,03171712615,8992042403180438927F,COSMOS
98,24381140473800,3799006246,Zong,03171234567,8992042403180438810F,COSMOS
99,24381140446801,3799006386,Zong,03171234567,8992300001589009716F,COSMOS
