Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,Project
4075,29123230957100,3298054136,Ufone,03320394663,8941003415441370435,COSMOS
4076,29123231127002,3298063581,Ufone,03328168721,8941003423231325748,COSMOS
4077,29123231128601,3298063583,Ufone,03328168727,8941003423231325749,COSMOS
4078,29123231149200,3298054142,Ufone,03320394670,89410034154413704362,COSMOS
4079,29123231151101,3298063584,Ufone,03328168730,8941003423231325750,COSMOS
4080,29123231179501,3298055082,Ufone,03331137668,89410034231412166395,COSMOS
4081,29123231185000,3298055162,Zong,03184196380,8992042403180389021F,COSMOS
4082,29123231196200,3298054140,Zong,03184196059,8992042403180388999F,COSMOS
4083,29123231213300,3298055091,Zong,03184196073,8992042403180389005F,COSMOS
4084,29123231248800,3298055092,Zong,03184196378,8992042403180389013F,COSMOS
4085,10123230407101,3299014182,Zong,03162283499,8992042403180410900F,COSMOS
4086,27123230324300,3299019704,Ufone,03313420957,89410034154517086708,COSMOS
4087,27123230406501,3299011284,Ufone,03328023928,89410034154610273583,COSMOS
4088,29123230619900,3298055161,Ufone,03331137892,89410034231412166551,COSMOS
4089,1123231390805,3299019482,Zong,03104262182,8992042403180247583F,COSMOS
4090,29123231452001,3298063582,Ufone,03328168580,8941003423231325745,COSMOS
4091,29123231653203,3298058211,Zong,03184196916,8992042403180364826F,COSMOS
4092,29123231653204,3298063573,Ufone,03328178320,8941003423231326039,COSMOS
4093,29123231691002,3298063574,Ufone,03328178402,8941003423231326042,COSMOS
4094,29123231704302,3298063575,Ufone,03328178473,8941003423231326041,COSMOS
4095,29123231820201,3298063576,Ufone,03328178480,8941003423231326040,COSMOS
4096,29123231828001,3298063577,Ufone,03328178488,8941003423231326043,COSMOS
4097,29123231835403,3298055090,Zong,03184196384,8992042403180389039F,COSMOS
4098,29123231835404,3298063578,Ufone,03328178499,8941003423231326044,COSMOS
4099,29123231838402,3298063579,Ufone,03328178502,8941003423231326045,COSMOS
4100,29123231838603,3298063580,Zong,03184196913,899204240318036481,COSMOS
4101,24123230373200,3298058205,Ufone,03331137880,89410034231412166544,COSMOS
4102,27123230396301,3299019518,Ufone,03344937841,89410034154517052031,COSMOS
4103,24123230088001,3299011347,Zong,03184197248,8992042403180391100F,COSMOS
4104,24123230791302,3298055083,Zong,03105332651,899204381022758369,COSMOS
4105,24123230842305,3298055167,Ufone,03331137778,89410034231412166494,COSMOS
4106,24123231104405,3298063442,Ufone,03331137735,8941003423141216644,COSMOS
4107,22123240363900,3298058207,Ufone,03328169031,89410034232313257564,COSMOS
4108,22123240364900,3298063504,Ufone,03331138557,8941003423141216681,COSMOS
