Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
951,28159350854900,3698058917,Zong,03164492155,899204041113171841,COSMOS
952,28159350865100,3798007645,Ufone,03313581862,8941003415431756796,COSMOS
953,28159350911200,3698058935,Zong,03164492173,899204041113171859,COSMOS
954,28159350944511,3698042498,Ufone,03360857807,8941003414331748106,COSMOS
955,28151740140404,3698025763,Ufone,03371421245,8941003414241195973,COSMOS
956,28151740194601,3698061230,Telenor,03401923603,8941006090527906041,COSMOS
957,28151740446800,3698015010,Telenor,03401923590,8941006090527906028,COSMOS
958,28151740452905,3698061220,Telenor,03401923589,8941006090527906027,COSMOS
959,28151740453424,3698015536,Telenor,03401923565,8941006090527906003,COSMOS
960,28151740491198,3698015487,Telenor,03401928510,8941006090527911525,COSMOS
961,28151740496011,3698015683,Telenor,03401928515,8941006090527911530,COSMOS
962,28151740508910,3698015008,Telenor,03401923334,8941006090527905778,COSMOS
963,28151740081306,3698015718,Telenor,03471491549,,COSMOS
964,28151740587707,3698015031,Telenor,03401923517,8941006090527905957,COSMOS
965,28151740678903,3698060119,Jazz,03061120575,410018408153242,COSMOS
966,28151740685203,2999001661,Ufone,03313641576,894100341543175,COSMOS
967,28151740767403,3698038837,Telenor,03401923393,8941006090527905837,COSMOS
968,28151740773902,3698015761,No Telco,03698015761,123456789000000000,COSMOS
969,28151740782602,3698024862,Ufone,03328801871,8941003415441362672,COSMOS
970,28151740783301,3698015159,Telenor,03401928488,8941006090527911503,COSMOS
971,28151740798300,3698015734,Telenor,03471491589,,COSMOS
972,28151740842000,3298036250,Telenor,03401928486,8941006090527911501,COSMOS
973,28151740849303,3698015762,Telenor,03401923601,8941006090527906039,COSMOS
974,28151740868702,3698015771,Telenor,03471491566,,COSMOS
975,28151740870935,3698061262,Telenor,03401923598,8941006090527906036,COSMOS
976,28151740889701,3698015066,Telenor,03401923568,8941006090527906006,COSMOS
977,28151740904400,3698015071,Telenor,03401923543,8941006090527905982,COSMOS
978,28151740141104,2998006908,Ufone,03313674248,894100341543175,COSMOS
979,28151740866800,3698058539,Zong,03153009670,899204140714060963,COSMOS
980,28151740867800,3698057780,Telenor,03409749459,8941006090527910788,COSMOS
981,28151740891923,3699004385,Telenor,03401926338,8941006090527908682,COSMOS
982,28151740891930,3699002801,Telenor,03401922457,8941006090527904919,COSMOS
983,28151740895403,3698057802,Telenor,03409749481,8941006090527910810,COSMOS
984,28151740922803,3699004398,Telenor,03401926351,8941006090527908695,COSMOS
985,28151740010915,3698015279,Telenor,03401923612,8941006090527906050,COSMOS
986,28151740037204,3698015088,Telenor,03401923299,8941006090527905746,COSMOS
987,28151740170335,3698056681,Telenor,03409748273,8941006090527901332,COSMOS
988,28151740476004,3698063260,No Telco,0410018408153926,03061121303,COSMOS
989,28151740697002,3698035142,Ufone,03316997156,8941003414361117322,COSMOS
990,28151744468202,3698015018,Telenor,03401923607,,COSMOS
991,28151740055903,3698015478,Ufone,03371420227,8941003414241195013,COSMOS
992,28151740070725,2998007066,Ufone,03313686803,894100341543175,COSMOS
993,28151740073603,3698015608,Telenor,03401923527,8941006090527905967,COSMOS
994,28151740271907,3698015398,Telenor,03401928467,8941006090527911483,COSMOS
995,28151740285800,3698061233,Telenor,03401923392,8941006090527905836,COSMOS
996,28151740313903,3698015728,Telenor,03401923416,8941006090527905860,COSMOS
997,28151740316100,3698015673,Telenor,03401928466,8941006090527911482,COSMOS
998,28151740316102,3298035726,Telenor,03401928455,8941006090527911471,COSMOS
999,28151740316105,3698030093,Ufone,03318748671,8941003414261110108,COSMOS
1000,28151740370005,3698015237,Telenor,03401928480,8941006090527911496,COSMOS
1001,28151740396700,3698057657,Telenor,03409749334,8941006090527910665,COSMOS
1002,28151740415302,3698015239,Telenor,03401923443,8941006090527905886,COSMOS
1003,28151740416400,3698035767,Ufone,03327173640,8941003414361117947,COSMOS
1004,28151740424000,3698015229,Telenor,03471491648,,COSMOS
1005,28151740432204,3698031122,Ufone,03359380019,8941003414351594679,COSMOS
1006,28151740436702,3698015067,Telenor,03401928408,8941006090527911425,COSMOS
1007,28151740438518,3698061237,Telenor,03401923566,8941006090527906004,COSMOS
1008,28151740443279,3698015581,Telenor,03401928482,8941006090527911498,COSMOS
1009,28151745007400,3698021748,Ufone,03313983379,8941003414231727892,COSMOS
1010,77151740260900,3698015676,Telenor,03471491422,,COSMOS
1011,28151740097502,2998007086,Ufone,03313688749,894100341543175,COSMOS
1012,28151740100102,3698035321,Telenor,03401923537,123456789000000000,COSMOS
1013,28151740104488,3698015015,Telenor,03401928473,8941006090527911489,COSMOS
1014,28151740200472,3698032423,Ufone,03325093203,8941003414351596895,COSMOS
1015,28151740521104,3698015097,Telenor,03471491798,,COSMOS
1016,28151740534802,3698015750,Telenor,03401928493,8941006090527911508,COSMOS
1017,28151740553008,2998006817,Ufone,03313669788,894100341543175,COSMOS
1018,28151740575804,3698053768,Ufone,03371424070,123465789000000000,COSMOS
1019,28151740576106,3698062437,Ufone,03314658538,8941003415441366310,COSMOS
1020,28151740577510,3698061245,Telenor,03482796910,,COSMOS
1021,28151745375501,3698015476,Telenor,03401923564,8941006090527906002,COSMOS
1022,28151740016810,3698061226,Telenor,03401923246,8941006090527905693,COSMOS
1023,28151740017804,3698057789,Telenor,03409749468,8941006090527910797,COSMOS
1024,28151740240400,3698015061,Telenor,03401923606,8941006090527906044,COSMOS
1025,28151740243724,3698015649,Telenor,03401928468,8941006090527911484,COSMOS
1026,28151740290105,3698015286,Telenor,03401923326,8941006090527905771,COSMOS
1027,28151740305506,2999001570,Ufone,03313634217,894100341543175,COSMOS
1028,28151740339005,3698015674,Telenor,03471491242,,COSMOS
1029,28151740357003,3698015479,Telenor,03401923394,,COSMOS
1030,28151740357703,3698015051,Telenor,03401923600,8941006090527906038,COSMOS
1031,28151740867002,3698031449,Ufone,03359385109,8941003414351590000,COSMOS
1032,28151740933902,3699004411,Telenor,03401926365,8941006090527908708,COSMOS
1033,28151710022402,3698060394,Jazz,03061120856,410018408153517,COSMOS
1034,28151710072507,3698060398,Jazz,03061120860,410018408153521,COSMOS
1035,28151710151600,3698060853,Jazz,03061121355,410018408153976,COSMOS
1036,28151710312201,3698060514,Jazz,03061120978,410018408153637,COSMOS
1037,28151715568000,3698041967,Ufone,03360825322,8941003414331747575,COSMOS
1038,28151715569201,3698041061,Telenor,03401924925,8941006090527907317,COSMOS
1039,28151715653500,3698015364,No Telco,01111111111111,11111111111111111111,COSMOS
1040,28151715728500,3698023831,Ufone,03318752622,8941003414261110312,COSMOS
1041,28151715731100,3698015451,Telenor,03401923187,8941006090527905636,COSMOS
1042,28151715732700,3698015470,Telenor,03401928348,8941006090527911366,COSMOS
1043,28151710397603,3698061277,Telenor,03401923480,8941006090527905921,COSMOS
1044,28151711638302,3698063404,Telenor,03496613797,006220468367146,COSMOS
1045,28151715846500,3698015710,Telenor,03401928343,894100609052791361,COSMOS
1046,28151717587000,3698060916,Jazz,03061121419,410018408154039,COSMOS
1047,28151717618402,3698042210,Ufone,03360834890,8941003414331747818,COSMOS
1048,28151710780901,3698015397,Telenor,03471491781,,COSMOS
1049,28151711299600,3698063258,Telenor,03496613846,006220468367148,COSMOS
1050,28151717110010,2999001834,Ufone,03313650602,894100341543175,COSMOS
1051,28151717224405,2999001764,Ufone,03313647264,894100341543175,COSMOS
1052,28151717232400,2999001693,Ufone,03313642912,894100341543175,COSMOS
1053,28151717815400,3698042749,Ufone,03360875686,8941003414331748357,COSMOS
1054,28151718148501,2999001694,Ufone,03313642966,894100341543175,COSMOS
1055,28151715798505,3299001466,Ufone,03322614810,89410034154317593358,COSMOS
1056,28151716702310,2999001602,Ufone,03313637277,894100341543175,COSMOS
1057,28151717439102,2999001784,Ufone,03313649139,894100341543175,COSMOS
1058,28151711300800,3698060397,Jazz,03061120859,410018408153520,COSMOS
1059,28151711383003,3698060814,Jazz,03061121315,410018408153937,COSMOS
1060,28151711386906,3299009223,Jazz,03061121305,8992300084081539281F,COSMOS
1061,28151711516100,3698060815,Jazz,03061121316,410018408153938,COSMOS
1062,28151711576200,3698060676,Jazz,03061121168,410018408153799,COSMOS
1063,28151716558200,3698015578,Telenor,03401928342,8941006090527911360,COSMOS
