Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
2594,30122221549202,3299021022,Zong,03112745690,8992042303180029900F,COSMOS
2595,30122221614500,3299010499,Zong,03171711325,8992042403180365609F,COSMOS
2596,30122221614700,3299012627,Ufone,03328017089,89410034154610269219,COSMOS
2597,30122221622201,3299011053,Zong,03171714173,8992042403180370740F,COSMOS
2598,30122221622401,3299012595,Ufone,03328017875,89410034154610269912,COSMOS
2599,30122221785900,3299015194,Ufone,03328031088,89410034154610257396,COSMOS
2600,28122221340100,3298058233,Ufone,03322766099,89410034154413709569,COSMOS
2601,30122221310600,3299010256,Ufone,03370497748,89410034154610246944,COSMOS
2602,30122221316500,3299012593,Ufone,03328017904,89410034154610269946,COSMOS
2603,30122221319000,3299012619,Zong,03171714172,8992042403180370732F,COSMOS
2604,30122221330100,3299015203,Ufone,03328029881,89410034154610257131,COSMOS
2605,30122221340200,3299012592,Zong,03171714203,8992042403180370955F,COSMOS
2606,30122221350100,3299015202,Ufone,03328029880,89410034154610257123,COSMOS
2607,30122221350300,3299012618,Zong,03171714170,8992042403180370724F,COSMOS
2608,30122221350400,3299010492,Zong,03171711319,8992042403180365542F,COSMOS
2609,30122221350402,3299012591,Ufone,03328017903,89410034154610269938,COSMOS
2610,30122221350501,3299012594,Zong,03171714202,8992042403180370948F,COSMOS
2611,30122221350600,3299012620,Zong,03171714169,8992042403180370716F,COSMOS
2612,30122221200100,3299011064,Ufone,03328014806,89410034154610266900,COSMOS
2613,28122220000200,3299020992,Zong,03162283834,8992042403180412997F,COSMOS
2614,28122220640600,3299012503,Zong,03170177470,8992042403180419935F,COSMOS
2615,30122220640100,3299020993,Zong,03112745688,8992042303180029892F,COSMOS
2616,30122220640201,3299021001,Ufone,03344929134,89410034154517045621,COSMOS
2617,30122220640300,3299015190,Zong,03170177466,8992042403180419901F,COSMOS
2618,30122220640400,3299012505,Zong,03165937058,8992042403180403079F,COSMOS
2619,30122220640401,3299012504,Zong,03165937056,8992042403180403053F,COSMOS
2620,30122220640402,3299010491,Zong,03162283692,8992042403180411684F,COSMOS
2621,30122220640500,3299015200,Ufone,03328037565,89410034154517116133,COSMOS
2622,30122220640501,3299012502,Ufone,03328037582,89410034154517116158,COSMOS
2623,30122220640901,3299012501,Zong,03170177469,8992042403180419927F,COSMOS
2624,30122220641100,3299012609,Zong,03171714137,8992042403180370484F,COSMOS
2625,30122220641102,3299015199,Zong,03165937326,8992042403180404390F,COSMOS
2626,30122220641200,3299012625,Telenor,03498601661,89410062404728768924,COSMOS
2627,30122220641202,3299015198,Zong,03165937325,8992042403180404382F,COSMOS
2628,30122221350700,3299012610,Zong,03171714113,8992042403180370328F,COSMOS
2629,30122220640101,3299015205,Zong,03170177465,8992042403180419893F,COSMOS
2630,30122220640202,3299012535,Telenor,03498601646,89410062404728768908,COSMOS
2631,30122221130102,3299012551,Telenor,03498602182,89410062404728768973,COSMOS
2632,30122221130103,3299020997,Ufone,03344929183,89410034154517045639,COSMOS
2633,30122230000200,3299012581,Zong,03171714224,8992042403180371151F,COSMOS
2634,28122230004801,3299015269,Zong,03165937371,8992042403180404754F,COSMOS
2635,30122230000300,3299010490,Zong,03171711340,8992042403180365682F,COSMOS
2636,30122230000302,3299010253,Zong,03171711337,8992042403180365658F,COSMOS
2637,30122230000400,3299015268,Zong,03165937372,8992042403180404762F,COSMOS
2638,30122230000500,3299012518,Zong,03162283733,8992042403180412062F,COSMOS
2639,30122230003700,3299012533,Zong,03162283686,8992042403180411635F,COSMOS
2640,30122230005300,3299021540,Zong,03112746833,8992042303180040683F,COSMOS
2641,30122230005400,3299011068,Zong,03171714154,8992042403180370617F,COSMOS
2642,30122230005503,3299012554,Ufone,03328034510,89410034154610262750,COSMOS
2643,30122230689102,3299011067,Zong,03171711373,8992042403180365823F,COSMOS
2644,30122230730601,3299011069,Zong,03171711369,8992042403180365781F,COSMOS
2645,28122230000100,3299012582,Zong,03171714225,8992042403180371169F,COSMOS
2646,30122230000600,3299012534,Zong,03170177612,8992042403180416576F,COSMOS
2647,30122230000900,3299012646,Ufone,03328036273,89410034154517114369,COSMOS
2648,30122230001100,3299021543,Zong,03165937368,8992042403180404721F,COSMOS
2649,30122230001500,3299012491,Zong,03170177355,8992042403180416436F,COSMOS
2650,30122230001501,3299012520,Ufone,03328029664,89410034154610256596,COSMOS
2651,30122230001600,3299015267,Ufone,03328036319,89410034154517114443,COSMOS
2652,30122230001800,3299012562,Zong,03170177477,8992042403180419984F,COSMOS
